Docker Container,MEM Mean,MEM SD,MEM Max,MEM Max SD,MEM Min,MEM Min SD
osm_keystone,515.2907733183857,0.0,515.7695,0.0,515.2852,0.0
osm_prometheus,86.80010780269058,0.0,87.77734,0.0,86.16797,0.0
osm_prometheus-cadvisor,107.85035778026908,0.0,108.53906,0.0,107.79688,0.0
osm_kafka,1150.4121917040359,0.0,1191.6094,0.0,1148.8319999999999,0.0
osm_mysql,263.06525874439455,0.0,263.5859,0.0,262.0977,0.0
osm_ro,76.38185818385652,0.0,81.83594000000001,0.0,72.42969000000001,0.0
osm_grafana,23.228927735426012,0.0,23.57422,0.0,23.03125,0.0
osm_lcm,88.0488369282511,0.0,144.08594,0.0,80.63280999999999,0.0
osm_mon,161.14830556053815,0.0,447.3906,0.0,152.26172,0.0
osm_nbi,85.31644966367712,0.0,89.75,0.0,82.07812,0.0
osm_zookeeper,333.362246412556,0.0,334.2383,0.0,333.332,0.0
osm_pol,32.72251544843049,0.0,43.83594,0.0,32.36719,0.0
osm_mongo,120.4805649103139,0.0,123.46484,0.0,116.35938,0.0
osm_light-ui,114.34284869955155,0.0,115.80859,0.0,114.30469,0.0
