Docker Container,MEM Mean,MEM Max
pluginmanager,29.11328,29.11328
son-gtkpkg,64.35156,64.35156
son-gtkrlt,42.1856430573248,42.32031
son-gtkfnct,79.87891,79.87891
son-monitor-manager,40.71094,40.71094
son-monitor-postgres,2.39905097239915,2.628906
son-gtksrv,542.446677070064,542.75
son-monitor-influxdb,617.22797685775,663.957
cloudservicelifecyclemanagement,30.2238675159236,30.37109
son-broker,105.075255329087,109.67188
functionlifecyclemanagement,31.9150914437367,32.34375
son-gtkvim,885.48432059448,886.6211
specificmanagerregistry,21.01562,21.01562
son-redis,1.45264398917197,1.6015625
son-monitor-probe,16.7086484713376,24.73828
servicelifecyclemanagement,40.17078014862,43.31641
son-monitor-pushgateway,442.4062,442.4062
wim-adaptor,117.49609,117.49609
son-sp-infrabstract,1214.70819163482,1600.3438
son-gtkapi,104.236291443737,123.58203
son-catalogue-repos,251.216789808917,251.9258
son-monitor-prometheus,1656.47338938429,1748.031
son-gtkkpi,1466.10203949045,1508.8789
son-gtkusr,100.935162929936,101.22266
son-validate,44.53516,44.53516
placementplugin,30.0379359872611,30.20312
son-gtklic,22.66016,22.66016
son-gtkrec,108.234711719745,108.37109
son-postgres,58.947926581741,60.08594
sdn-plugin,23.08594,23.08594
son-bss,34.860328492569,35.01953
son-gtkcsrv,83.66797,83.66797
son-keycloak,720.897711889597,721.0742
son-mongo,292.892758598726,293.082
son-sec-gw,1.5273438,1.5273438
son-gui,7.675781,7.675781
placementexecutive,17.79688,17.79688
